gene_name,NC,NC1,NC2,A,A1,A2
CTA-415G2.2,0,0,0,0,0,0
RP11-21G15.1,0,0,0,0,0.0375126,0
AC103563.9,0,0,0,0,0,0
SC22CB-1D7.1,0,0,0,0,0,0
RNU6ATAC39P,0,0,0,0,0,0
RP11-666A8.9,2.06662,1.97545,1.50786,4.83084,2.32177,2.97915
STXBP5,6.87237,8.46703,8.14429,9.95308,9.16852,9.34436
ETV3L,0,0,0,0,0,0
RP3-388M5.8,0,0.0582446,0,0.140048,0,0
TEN1-CDK3,8.57661,7.11379,6.62848,10.0298,10.2474,8.21052
AC090283.3,0,0,0,0,0,0
RNU6-1209P,0,0,0,0,0,0
AC103563.3,0,0,0,0,0,0
RP11-555K12.2,0,0,0,0.440117,0,0.243845
AC010723.2,0,0,0,0,0,0
ARPP21,0,0,0,0,0,0
RNF219-AS1,0,0,0,0,0,0
RP13-461N9.2,0,0,0,0,0,0
RP4-631H13.2,0,0,0,0,0,0
MSL3P1,3.7179,3.21338,3.656,2.67354,2.6961,2.87386
RP4-631H13.6,0.851046,5.70249,0.927619,2.33352,2.86921,1.46775
RP4-631H13.5,0,0,0,0,0,0
RP4-631H13.4,0,0,0,0,0,0
AC068858.1,0,0,0,0,0,0
RP11-678L1.1,0,0,0,0,0,0
NCBP2-AS1,0.236628,0,0.0852529,0.305232,0.0938351,0.0853226
NCBP2-AS2,12.0365,12.7477,13.2382,11.4136,11.3545,9.53142
MDC1-AS1,4.02299,4.14803,3.50852,2.98913,3.02034,2.12764
RP1-197J16.2,0,0,0,0,0,0
RP4-735N21.1,0,0,0,0,0,0
RP11-549L6.2,0,0,0,0,0,0
C15orf26,0.1153707,0.102311,0.164281,0.1913876,0.331322,0.198308
C15orf27,0.168116,0.167418,0.0926792,0.287011,0.198506,0.236135
CR759828.2,0,0,0,0,0,0
RP1-197J16.1,0,0,0,0,0,0
RNU6-163P,0,0,0,0,0,0
RP5-1077H22.1,0,0,0,0,0,0
RP5-1077H22.2,0,0,0,0,0,0
ZNF117,4.93455,6.11743,4.96368,5.46033,4.12931,4.21063
ZNF114,0.114193,0,0.0757799,0,0,0
ZNF112,10.4315,9.89569,10.9816,7.22345,5.23582,5.62456
SEZ6L,0,0,0,0,0,0
AC108938.3,0,0,0,0,0,0
RP11-1094M14.12,0,0,0,0,0,0
AC096582.9,0,0,0,0.118004,0,0
AL031653.1,0,0,0,0,0,0
RP11-430L16.1,0,0,0,0,0,0
PRKAR2A,13.9754,15.6913,16.2929,21.5106,20.4165,19.6751
PRKAR2B,0,0.00809124,0,0,0,0.0719501
S1PR5,4.60767,4.89727,4.26094,12.9315,12.1802,11.5096
IGKV1OR10-1,0,0,0,0,0,0
S1PR4,0.0813647,0.103915,0.234648,0.172687,0.143998,0.126197
RNU7-104P,0.127916,0.18027,0.126303,0.173146,0.0645383,0.0947847
ITGA2B,0,0,0,0,0.153026,0.0298654
FAM58DP,0,0,0,0,0,0
AC096582.1,0,0,0,0,0,0
AC104438.1,0,0,0,0,0,0
RN7SL187P,0,0,0,0,0,0
PHACTR4,16.0399,15.2438,14.781,11.8219,13.2765,13.0512
CR938714.1,0,0,0,0,0,0
NLGN2,5.63579,6.02798,6.32224,8.43295,8.34677,8.82529
OR2K2,0,0,0,0,0,0
PHACTR3,24.1097,29.4813,28.0887,9.23647,12.0897,12.0834
NUP107,19.3169,16.3804,18.6128,15.6386,15.8019,16.6263
RP11-680G24.1,0,0,0,0,0,0
KRTAP2-2,0,0,0,0,0,0
KRTAP2-1,0.543613,0.154527,0.103625,0.061782,0.114759,0
RP11-680G24.5,0.220601,0.145119,0.170721,0.3904,0.0731416,0.252771
RP11-680G24.4,0.0499559,0.0339437,0.0507338,0.120689,0,0.0513653
KRTAP2-4,0,0,0,0,0,0
RP4-724E16.2,0.178448,0.280982,0.131746,0.137109,0.128349,0.0333453
RNU6-1051P,0.129066,0.248053,0.276064,0.293762,0.210325,0.264875
MIR4708,0,0,0,0,0,0
RP11-776A13.2,0,0,0,0,0,0
RP11-776A13.1,0,0,0,0,0,0
MIR4704,0,0,0,0,0,0
MIR4705,0,0,0,0,0,0
MIR4706,0,0,0,0,0,0
MIR4707,130.661,155.079,156.689,116.543,122.064,118.443
MIR4700,8.72624,8.6454,8.59217,7.85506,6.73116,6.88407
MIR4701,0,0,0,0,0,0
RP3-523C21.2,0.196856,0,0,0,0,0
MIR4703,0,0,0,0,0,0
ZNF736P3Y,0,0,0,0,0,0
RP11-3L10.2,0,0,0,0,0,0
RP11-3L10.3,0,0,0,0,0,0
RNU7-36P,0,0,0,0,0,0
RP11-713D19.1,0,0,0,0.170268,0,0
SBF1P1,0,0,0,0,0,0
RP11-351I21.7,0,0,0,0.0354073,0,0
RP11-351I21.6,0,0,0,0,0,0
RP11-542K23.10,0,0,0,0,0,0
RPL12P39,0,0,0,0,0,0
AC234917.1,0,0,0,0,0,0
VMP1,78.2277,78.1205,70.3194,53.6013,58.953,55.0301
IGHVII-74-1,0,0,0,0,0,0
PPIAP6,0,0.102806,0,0,0,0
PPIAP7,0,0,0,0,0,0
EPN2-AS1,0.0286738,0.0589267,0,0.175375,0.0327353,0.029756
PPIAP2,0,0,0,0.257311,0.118174,0
PPIAP3,0,0,0,0,0,0
AC105402.1,0,0,0,0,0,0
AC002551.1,0,0,0,0,0,0
NR1D1,8.2803,7.09896,5.41664,1.09759,1.15233,1.21731
NR1D2,10.4279,7.99805,8.25122,3.40468,3.35492,3.21464
AC046130.1,0,0,0,0,0,0
RNU6-356P,0,0,0,0,0,0
AC105402.4,0,0,0,0,0,0
RP11-390G14.1,0.174098,0.186323,0.284186,0.113294,0,0.0946177
MLANA,0.943574,0.782526,0.649258,1.09528,0.631909,0.735553
RP11-380D23.2,0,0,0,0,0,0
RP11-380D23.1,0,0,0,0,0,0
OGFR,8.45889,10.4322,10.4937,7.76394,9.89341,9.57702
RPS26P43,0,0,0,0,0,0
RP11-335O13.8,0,0,0,0,0,0
RPS26P49,0,0,0,0,0,0
RP11-335O13.7,0,0,0,0,0,0
AL591415.1,0,0,0,0,0,0
RP11-816J6.3,0.0884789,0.137836,0.0922916,0.110005,0.204588,0.0929459
PTCH2,0.417428,0.538953,0.468249,0.209284,0.12338,0.0890234
PTCH1,0.820102,2.09006,0.519453,2.4076,1.1887,1.21601
AOAH-IT1,0,0,0,0,0,0
TIMM44,30.8961,27.2802,31.7378,12.8989,13.2863,12.0227
RAD9B,0.43541,0.211637,0.195318,0.251242,0.233816,0.107214
RAD9A,2.70473,2.64602,2.36305,3.38244,3.23818,3.01163
ERGIC2,42.7643,42.3579,47.4559,66.7027,62.998,66.5521
ERGIC3,93.3306,80.9077,81.2323,103.864,103.665,99.5422
VN2R10P,0,0,0,0,0,0.0457694
ERGIC1,68.8206,65.6469,67.9862,60.6521,62.8287,64.7268
MIR3165,0,0,0,0,0,0
RP11-291L19.1,0,0,0,0,0,0.262716
MIR3167,0,0,0,0,0,0
MIR3166,0,0,0,0,0,0
MIR3161,0,0,0,0,0,0
MIR3163,0,0,0,0,0,0
MIR3162,0,0,0,0,0,0
B3GAT3,16.7635,14.0352,14.1677,13.4421,11.7817,12.076
B3GAT2,2.53837,2.69616,2.59277,2.55619,2.48314,2.63968
B3GAT1,0.0255647,0.00863597,0,0,0,0.0087047
MIR3169,0,0,0,0,0,0
MIR3168,0,0,0,0,0,0
MTND2P33,0,0,0,0,0,0
RP11-150D5.2,0,0,0,0,0,0
RNU6-238P,0,0,0,0,0,0
CALM2,447.087,411.199,407.987,282.902,302.696,316.252
CALM3,82.4187,72.9082,79.907,130.087,134.728,137.742
SPG21,52.7409,47.9078,47.842,29.5484,29.3379,29.029
SPG20,16.1449,18.8661,19.8695,16.0416,16.0015,16.8306
RP11-357N13.1,0,0,0,0,0,0
GSDMA,0.144262,0.294102,0.331848,0,0.0162734,0.0888365
RP11-357N13.3,0,0,0,0,0,0
RP11-357N13.2,0,0.0552489,0,0.132674,0,0.0559424
GSDMD,4.83132,4.54857,4.12382,4.35773,5.45393,5.79604
UPK1A,0.0277454,0.0718501,0.0569595,0.0339028,0,0.0287718
UPK1B,27.1519,35.6622,33.1751,71.9696,80.5288,79.9872
AE000658.22,0,0,0,0.695302,0.510256,0.578342
DLGAP3,0,0,0.0168428,0.01001,0,0
DLGAP1,6.6422433,4.3802799,3.6029489,2.1705195,1.2185339,0.7595713
AE000658.27,0,0,0,0,0,0
DLGAP4,34.4088,29.0067,26.988,20.7731,22.5562,21.2342
AE000658.25,0,0,0,0,0,0
RP11-554D14.3,0,0,0,0,0,0
RP11-554D14.2,0,0,0,0,0,0
RP11-554D14.1,0,0,0,0,0,0
RP11-554D14.7,0,0,0,0,0,0
RP11-554D14.6,0,0,0,0,0,0
RP11-554D14.5,0,0,0,0,0,0
RP11-554D14.4,0,0,0,0,0,0
MIR503,15.2655,9.42329,8.82823,17.5606,21.4102,19.8001
OIP5,1.54004,1.74831,1.29962,2.56128,3.25617,3.38785
MIR502,0,0,0,0,0,0
RNU1-134P,0,0,0,0,0,0
FBXL16,3.03416,1.09952,1.37595,1.53327,4.75516,5.17319
MIR501,0,0,0,0,0,0
AC138744.2,0,0,0,0.56334,0,0.46381
AL603650.1,0,0,0,0,0,0
MIR507,0,0,0,0,0,0
AL603650.3,0,0,0,0,0,0
AL603650.2,0,0,0,0,0,0
AL603650.4,0,0,0,0,0,0
RP11-708H21.1,0.106465,0,0,0.141322,0,0
PTPN18,9.29743,8.01642,7.76545,12.8185,10.9217,11.9982
MIR505,0,0,0,0,0,0
PTPN13,26.1776,30.9554,28.9499,32.7475,33.7824,30.3208
AC087491.2,1.47736,1.64336,1.31673,0.171433,0.16074,0.208788
PTPN11,58.7506,57.3675,60.9006,35.991,34.166,34.769
RP11-1028N23.4,0,0,0,0,0,0
RP11-1028N23.3,0,0,0,0,0,0
RP11-1028N23.2,0,0,0,0,0,0
RNU6-960P,0,0,0,0,0,0
PTPN14,53.8917,54.7439,49.6801,50.1482,48.0976,48.5374
AC004156.3,0,0,0,0.0203588,0,0
LYAR,19.3842,20.9114,22.5725,6.16698,6.98471,7.5149
KB-1043D8.8,0,0,0,0,0,0
RP11-716O23.1,0,0,0,0,0,0
RP11-9L18.2,0,0,0,0,0,0
AC002465.2,0,0,0,0,0,0
AC138035.1,0,0,0,0,0,0
AC138035.2,1.38316,1.32761,1.24587,0.329619,0.361096,0.595336
MIR548AG1,0,0,0,0,0,0
RP11-123C21.2,0,0.068646,0,0.165611,0,0.0697535
RP11-123C21.1,0,0,0,0,0,0
AC008060.8,0,0,0,0,0,0
TFIP11,11.8089,14.4693,13.5985,11.2986,10.9028,11.4111
C2orf81,0.81191,0.780424,0.890905,1.17322,1.00548,0.532547
C2orf80,0,0,0,0,0,0
DMRTB1,0,0,0,0,0,0
SNORA81,253.711,162.182,169.577,239.736,182.687,181.215
RP11-192H6.2,0,0,0,0,0,0
SNORA84,30.1991,42.2999,70.1343,0,0,21.9759
FAM210CP,0,0,0,0,0,0
RP1-184J9.2,25.1622,33.6704,32.2185,20.6761,23.7301,22.7405
RP11-415A20.1,0,0,0,0,0,0
RNU6-417P,0,0,0,0,0,0
CTD-2230M5.1,0,0,0,0,0,0
CTD-2230M5.3,0,0,0,0,0,0
TRAPPC6A,7.83318,8.03071,8.33326,12.2731,11.1064,12.7556
SNAPC4,2.20829,2.81722,2.69947,2.37174,2.13603,2.07955
RP11-556H2.3,0,0,0,0,0,0
MZB1,0,0,0,0.0421758,0.0769592,0.0329686
TRAPPC6B,24.9456,25.98,27.0158,16.2517,17.3476,18.5743
RNU4-56P,0,0,0,0,0,0
CDK3,8.57661,7.11379,6.62848,10.0298,10.2474,8.21052
HLA-DQB1,0.314255,0.958713,0.138919,0.673147,1.44856,1.5199
MSMB,2.37397,1.8875,3.01359,4.28389,6.18355,6.50818
HLA-DQB3,0,0,0,0,0,0
HLA-DQB2,0.807936,0.903026,0.959786,1.01581,1.33022,1.55576
BX088651.1,0,0,0,0,0,0
AC004837.3,10.1062,11.1086,12.0821,7.12696,9.19158,7.59207
HSPE1P16,0,0,0,0,0,0
HSPE1P14,0,0,0,0,0,0
HSPE1P12,0,0,0,0,0,0
HSPE1P13,0,0.328658,0,0,0,0
HSPE1P10,0,0,0,0,0,0
HSPE1P11,0,0,0.302925,0,0,0
RP11-51L5.7,0,0.0178985,0,0.0212207,0,0
RP11-51L5.5,0,0.0178985,0,0.0212207,0,0
RP11-51L5.4,0,0,0,0,0,0
RP11-51L5.3,0,0,0,0,0,0
RP11-51L5.2,0,0,0,0,0,0
HSPE1P18,0,0,0,0,0,0
HSPE1P19,0,0,0,0,0,0
LPAR2,14.0937,14.08,13.042,6.03955,6.1906,6.2339
CTC-360P9.4,0,0,0,0,0,0
CTC-360P9.5,0,0,0,0,0,0
CTC-360P9.2,0,0,0,0,0,0
CTC-360P9.3,0,0,0,0,0,0
CTC-360P9.1,0,0,0,0,0,0
CTD-2267G17.2,0,0,0,0,0,0
AC008060.5,0,0,0,0,0,0
MCHR2,0,0,0,0,0,0
CHORDC2P,0,0,0,0,0,0
HMGB3P3,0,0,0,0,0,0
HAPLN1,0,0,0,0,0.00586221,0
AL357060.1,0,0,0,0,0,0
RP4-706G24.1,0,0,0,0,0,0
NDUFA3P3,0,0,0,0,0,0
NDUFA3P2,0,0,0,0,0,0
CAMKK1,1.02084,1.36435,1.40676,2.0507,1.89064,2.22577
RP11-255L13.1,0,0,0,0,0,0
NDUFA3P6,0,0,0,0,0,0
NDUFA3P4,0,0,0,0,0,0
PPP1R1AP2,0,0,0,0,0,0
HMGN2P31,0,0,0,0,0,0
RP11-409K20.6,0,0,0,0,0,0
MIR1292,64.266,88.666,84.5472,45.1873,52.9067,58.1437
RP11-536P6.3,0,0,0,0,0,0
RP11-409K20.7,0,0.227351,0,0,0,0
PPP1R1AP1,0,0,0,0,0,0
RP11-863H1.1,0,0.0911563,0,0,0.101469,0
U47924.27,64.2553,60.1879,60.1906,43.3076,53.0829,55.8416
TTTY25P,0,0,0,0,0,0
CHMP3,72.67406,68.704108,70.42142,85.40881,84.50877,80.27593
RPL36AL,181.524,145.129,143.78,121.258,149.991,140.435
RP11-128B16.3,0,0,0,0,0,0
