",""GeneID"",""Length"""
581,113451,2182
582,55223,3841
583,149076,3106
584,1912,4175
585,7579,4218
586,114784,13108
587,127540,2343
588,84970,3154
589,693137,96
590,2709,1281
591,127534,2840
592,2707,2352
593,2701,1622
594,113444,6373
595,58512,3587
596,100506144,918
597,9204,5145
598,79830,4170
599,100506168,4675
600,6421,3073
601,9202,6994
602,79932,4812
603,23154,3705
604,339488,2189
605,5690,845
606,127703,2934
607,63967,8484
608,192670,4758
609,26523,7478
610,192669,3556
611,27285,1509
612,54936,1691
613,1296,4447
614,27095,1262
615,55700,3324
616,9967,4432
617,79729,2579
618,55194,1054
619,83931,3846
620,100506594,1030
621,84967,850
622,127700,1666
623,64960,965
624,1441,3490
625,2899,9219
626,100422898,72
627,728431,1430
628,80149,2716
629,64769,2147
630,79753,2471
631,7802,2649
632,29889,2402
633,284654,2985
634,54955,2355
635,55143,2303
636,284656,6644
637,149175,3107
638,79693,1836
639,127687,1318
640,4520,7972
641,3633,4454
642,10946,2841
643,2275,1704
644,51118,2050
645,5453,2928
646,64121,1442
647,26292,2091
648,100506806,416
649,81025,2313
650,54933,1837
651,79647,2726
652,4725,571
653,23499,24105
654,100292290,309
655,643314,6979
656,353500,5626
657,728448,2637
658,8761,3204
659,100506950,614
660,677834,137
661,26508,4114
662,84618,1107
663,51440,4259
664,10450,4737
665,656,3773
666,64064,1824
667,100287437,1190
668,54802,2131
669,4610,4951
670,84879,2201
671,10487,2773
672,5538,2504
673,6018,6250
674,127391,741
675,10269,3154
676,1298,2831
677,100286988,679
678,64744,2576
679,65243,2031
680,339559,2159
681,64789,2217
682,127396,2097
683,9783,7229
684,100130557,3182
685,4802,2821
686,407034,92
687,407031,89
688,9132,4099
689,163732,1291
690,1503,3199
691,100507178,4800
692,200172,2147
693,22955,3801
694,100132074,1723
695,1907,1243
696,59269,8872
697,100507198,1757
698,2981,597
699,2980,575
700,22887,5231
701,284716,10569
702,84217,1775
703,79717,1489
704,100507214,668
705,728621,3098
706,10465,800
707,100507252,645
708,4904,1546
709,149461,3602
710,64175,2705
711,79078,1020
712,100129924,1023
713,100507268,636
714,374969,798
715,114625,3500
716,51058,1577
717,6513,3670
718,440584,1124
719,440585,517
720,10969,1642
721,149465,3128
722,100506711,1898
723,128218,1786
724,149466,1516
725,7075,3882
726,4352,3645
727,991,1675
728,64834,1483
729,112950,1807
730,149469,1188
731,23334,10217
732,81888,1115
733,5792,7733
734,9682,4509
735,100132774,1574
736,6487,2450
737,9048,1944
738,9670,4027
739,1802,2497
740,533,1022
741,8704,2313
742,149473,1463
743,6536,3647
744,128209,3131
745,100129492,360
746,55929,1766
747,79033,1743
748,55182,3010
749,79639,1600
750,339541,1685
751,26830,100
752,11004,2881
753,6202,705
754,26811,74
755,94161,98
756,94162,71
757,94163,69
758,266675,2096
759,1263,2358
760,343521,1270
761,149478,1572
762,8643,4634
763,8891,2155
764,100507337,2312
765,79654,3628
766,7389,1458
767,57643,5838
768,400752,1710
769,84842,1803
770,4595,2129
771,114034,2392
772,10420,3076
773,126661,2169
774,25974,2850
775,5052,1234
776,10327,1535
777,4678,3223
778,149483,2250
779,60313,3738
780,728963,914
781,51249,1471
782,3652,3461
783,23139,5738
784,8503,5928
785,100133124,243
786,10103,1629
787,100507408,391
788,55624,3337
789,541468,1849
790,8438,3146
791,10489,2948
792,7388,527
793,387338,4436
794,2166,2095
795,729041,1035
796,127343,2897
797,100507423,2445
798,148930,2392
799,8569,2900
800,148932,2985
801,64756,4131
802,374973,853
803,9813,5767
804,100129898,705
805,1580,2158
806,163720,2608
807,1579,2552
808,260293,2357
809,199974,1907
810,284541,1668
811,10158,894
812,6886,5002
813,6491,5019
814,51727,2930
815,2301,1981
816,84793,2509
817,2306,4675
818,388630,7029
819,100507479,1807
820,391037,1511
821,200010,3274
822,54558,5004
823,84871,2988
824,79656,1329
825,1996,2463
826,63950,3103
827,11124,2583
828,1031,2478
829,284546,911
830,26994,3074
831,22996,2864
832,2060,5483
833,114883,4257
834,4898,4026
835,100313892,59
836,5865,12844
837,51060,1600
838,112970,1696
839,91408,2345
840,9372,5090
841,200014,5639
842,4998,3169
843,84950,2772
844,23318,5851
845,2882,1229
846,348378,698
847,65260,2114
848,79699,8143
849,440590,4271
850,55268,1175
851,6342,3700
852,127435,3010
853,6512,2677
854,1376,3094
855,54987,1085
856,4116,681
857,100507564,1516
858,7804,4607
859,163742,925
860,63948,1907
861,148979,2816
862,55706,4826
863,54432,1804
864,1733,1860
865,51668,601
866,115353,1714
867,388633,785
868,9528,1696
869,127428,4097
870,200008,2723
871,606495,3551
872,51253,1483
873,23648,2187
874,619518,1021
875,26027,3292
876,338094,1981
877,374977,4391
878,7268,2395
879,25973,2386
880,55001,3073
881,163747,1789
882,1718,4286
883,199964,1097
884,7809,1370
885,255738,3710
886,23358,10802
887,100507634,1470
888,100507652,631
889,8613,3294
890,5563,9352
891,199920,3460
892,731,2392
893,732,2037
894,1600,2580
895,115209,1909
896,4070,2072
897,114803,2589
898,3725,3323
899,100131060,1123
900,729467,1043
901,55277,2086
902,51361,5857
903,1573,1857
904,127795,2028
905,4774,10023
906,83941,1250
907,10207,8505
908,100422902,74
909,100422946,68
910,54596,3989
911,163782,5477
912,7398,4198
913,85440,7052
914,27329,2126
915,100507664,1819
916,84938,1807
917,27022,2068
918,29929,3371
919,23421,879
920,84455,2361
921,79469,1657
922,5236,3353
923,4919,4112
924,148581,1136
925,57685,5274
926,55225,4362
927,3716,5053
928,406893,75
929,205,7226
930,9829,5750
931,100505510,1461
932,3953,6746
933,54741,4644
934,5142,5213
935,84251,4694
936,100422871,78
937,200132,2264
938,10022,715
939,79819,3959
940,57708,5786
941,23169,6460
942,400757,2143
943,149233,2826
944,3595,4040
945,26135,6764
946,1647,1355
947,55970,4409
948,100289178,2232
949,9077,1631
950,79971,3091
951,100302279,93
952,6121,2608
953,55635,5333
954,57554,6245
955,5301,996
956,55631,2945
957,9295,2794
958,81573,5667
959,11147,952
960,1491,2140
961,5733,10280
962,100132618,1678
963,9406,3145
964,406962,86
965,257194,5669
966,127255,2865
967,8790,3426
968,51086,3360
969,127254,7159
970,1429,2305
971,127253,3550
972,431707,2373
973,204962,4224
974,34,2615
975,5876,1496
976,692085,78
977,26805,84
978,26804,71
979,4438,3203
980,127247,1107
981,100505563,369
982,256435,3623
983,81849,2032
984,256483,584
985,10026,4626
986,26289,4255
987,26009,4323
988,23032,4601
989,374986,5259
990,653631,921
991,374987,2286
992,91624,3391
993,8880,2884
994,11080,2240
995,54810,2823
996,149047,1193
997,5737,5431
998,10964,5874
999,10561,1726
1000,64123,3619
1001,23266,5706
1002,79739,3648
1003,5567,5609
1004,148418,1803
1005,391051,1551
1006,58511,1345
1007,80135,1975
1008,2787,806
1009,100505741,1473
1010,1486,3101
1011,439927,2884
1012,117178,6114
1013,23566,1721
1014,255231,3044
1015,55283,2796
1016,126820,3007
1017,84144,4711
1018,148423,3391
1019,8915,3105
1020,646626,748
1021,23576,4482
1022,3491,2295
1023,54680,6197
1024,255631,6500
1025,57489,6471
1026,9635,4025
1027,1179,3123
1028,22802,3213
1029,9629,3412
1030,51100,6373
1031,9403,1840
1032,9653,7265
1033,339524,4643
1034,8543,5405
1035,100505768,889
1036,5586,6104
1037,2959,1645
1038,56267,2152
1039,494115,5087
1040,2635,3040
1041,2633,3050
1042,2634,2595
1043,388646,2454
1044,115361,6145
1045,115362,4052
1046,163351,4867
1047,400759,1234
1048,23507,8061
1049,400761,789
1050,84230,7207
1051,55144,4054
1052,492303,1702
1053,284695,3919
1054,343472,1496
1055,100505821,686
1056,100505809,2454
1057,100505840,592
1058,84146,5827
1059,100505857,1043
1060,164045,4931
1061,8317,3415
1062,343477,1362
1063,7049,6418
1064,676,3454
1065,253152,1443
1066,284697,1443
1067,23285,4556
1068,388649,751
1069,11146,2032
1070,79871,3112
1071,2672,2910
1072,7813,7403
1073,6125,1031
1074,6083,95
1075,26782,133
1076,388650,2599
1077,22823,4128
1078,50999,6185
1079,343099,4658
1080,100131564,4033
1081,1810,3209
1082,54874,5517
1083,8412,3171
1084,100129046,1562
1085,100126348,80
1086,30836,2380
1087,2730,3074
1088,100505924,747
1089,24,7326
1090,9411,9117
1091,100505940,727
1092,5825,3797
1093,2152,2393
1094,126969,2573
1095,1266,2066
1096,729970,952
1097,199857,1057
1098,148534,6822
1099,25950,1252
1100,440594,2755
1101,58155,3486
1102,1806,5617
1103,400765,2303
1104,406928,102
1105,51375,1897
1106,163404,4015
1107,100129620,2544
1108,9890,5024
1109,54873,2578
1110,391059,2678
1111,178,8217
1112,730081,1070
1113,23443,2149
1114,64645,2641
1115,163786,3899
1116,54482,3143
1117,127495,1392
1118,1629,10815
1119,100506007,814
1120,8634,2623
1121,693138,68
1122,8556,5392
1123,54112,3465
1124,7412,3102
1125,2135,2887
1126,148867,8216
1127,51611,1808
1128,100506051,1667
1129,100506029,1950
1130,1901,3050
1131,118427,3462
1132,94236,1781
1133,1301,7444
1134,55599,1887
1135,280,2181
1136,648740,1988
1137,279,1632
1138,276,2023
1139,277,1838
1140,278,1860
1141,100129138,1224
1142,55170,2650
1143,22854,3477
1144,10451,4867
1145,29957,3724
1146,148545,2499
1147,100507044,1491
1148,400768,2624
1149,653149,2222
1150,284611,5340
1151,113802,2041
1152,55119,3706
1153,163479,3064
1154,6814,2503
1155,254268,3050
1156,642864,535
1157,29899,3033
1158,23155,4835
1159,22911,4376
1160,6884,577
1161,56900,2750
1162,677766,420
1163,127003,731
1164,57535,7032
1165,6301,6306
1166,1952,10540
1167,84722,1775
1168,343263,1372
1169,6272,7018
1170,5686,974
1171,284612,3779
1172,127002,2388
1173,284613,5157
1174,57463,2471
1175,83873,2823
1176,2773,4730
1177,406974,75
1178,2780,1365
1179,271,4573
1180,2948,1917
1181,2946,2018
1182,2944,1185
1183,100506210,2199
1184,2949,1570
1185,2947,4127
1186,79574,2241
1187,1435,3654
1188,10768,4022
1189,85369,3262
1190,257,1478
1191,164153,1508
1192,388662,6403
1193,100130800,804
1194,3749,4437
1195,100506257,1517
1196,64783,3431
1197,9122,2529
1198,10542,850
1199,84432,1372
1200,643160,1241
1201,3744,1959
1202,3737,2125
1203,3738,3346
1204,963,1628
1205,100506293,2359
1206,55791,3335
1207,128338,1886
1208,10390,2348
1209,79961,2042
1210,1117,1611
1211,149620,2803
1212,27159,1685
1213,128344,2346
1214,441897,608
1215,5016,2242
1216,79084,2408
1217,515,2116
1218,128346,917
1219,140,3408
1220,100129269,1542
1221,5906,1662
1222,55924,6077
1223,100506343,2131
1224,11218,3510
1225,3752,2693
1226,643355,3068
1227,55917,5900
1228,100422976,64
1229,7482,2544
1230,54879,4689
1231,829,2740
1232,4343,3636
1233,389,1621
1234,333926,1714
1235,284467,1134
1236,128322,381
1237,6566,4669
1238,246182,1324
1239,100506392,2377
1240,9860,4015
1241,260425,7221
1242,10745,3244
1243,54665,6593
1244,26191,3648
1245,100287722,1734
1246,440603,4973
1247,10717,2484
1248,64858,3788
1249,204851,8430
1250,56944,1814
1251,148281,4370
1252,51592,8339
1253,10286,1304
1254,163259,3974
1255,270,2407
1256,4893,4461
1257,7812,4310
1258,80143,5508
1259,6847,3491
1260,7252,578
1261,10100,3213
1262,4803,1049
1263,100506434,2480
1264,81839,8769
1265,845,2702
1266,4808,2680
1267,55356,4720
1268,126868,3229
1269,476,4300
1270,84852,2635
1271,100506459,2302
1272,965,1719
1273,3321,7253
1274,100302117,79
1275,914,1531
1276,5738,6160
1277,9398,3547
1278,8458,4855
1279,100126331,86
1280,80263,3581
1281,100506478,666
1282,79679,2605
1283,10905,5388
1284,54855,5720
1285,54834,9664
1286,10885,3877
1287,200162,7125
1288,6913,3495
1289,10352,2835
1290,51179,1696
1291,3284,1870
1292,3283,1680
1293,441900,480
1294,128102,8697
1295,644242,1590
1296,90874,5080
1297,26227,2015
1298,3158,2466
1299,83998,2262
1300,343505,1887
1301,11085,2958
1302,4853,11425
1303,100506528,1274
1304,100132913,758
1305,653820,2374
1306,100132314,494
1307,337875,515
1308,2210,1122
1309,647121,4231
1310,100423008,75
1311,375010,792
1312,100422949,73
1313,100132733,1686
1314,100422844,75
1315,100130000,1731
1316,100286793,1195
1317,100287981,858
1318,644591,738
1319,728833,2393
1320,647135,1033
1321,728841,9642
1322,728855,1273
1323,730256,822
1324,653505,785
1325,728875,772
1326,767846,1913
1327,400818,3200
1328,653513,872
1329,9659,12539
1330,100505971,1073
1331,9554,1821
1332,440672,3785
1333,388677,4962
1334,100132406,10697
1335,100505987,917
1336,148738,2215
1337,10628,2934
1338,84265,1165
1339,284615,3612
1340,128077,1401
1341,9939,2787
1342,114814,6257
1343,8799,1927
1344,8515,5170
1345,148741,3363
1346,10401,2902
1347,200035,1093
1348,10623,1851
1349,27246,1675
1350,11126,1559
1351,5174,2107
1352,653519,2032
1353,728932,1569
1354,728939,3498
1355,26864,164
1356,200030,5467
1357,100506011,448
1358,100506032,5043
1359,100505723,786
1360,100505752,1058
1361,149013,8583
1362,100505770,531
1363,728989,1076
1364,5565,5423
1365,100505794,2049
1366,171423,2099
1367,2330,3178
1368,9557,3010
1369,100289211,3373
1370,607,6278
1371,51205,1808
1372,2702,3285
1373,2703,1367
1374,51463,2116
1375,100312957,164
1376,728912,3409
1377,100505824,448
1378,284561,4436
1379,100132057,939
1380,100505885,582
1381,388685,1065
1382,100132999,892
1383,164022,660
1384,25832,3689
1385,729086,922
1386,645142,785
1387,100288142,16019
1388,284565,4802
1389,730262,785
1390,728936,3831
1391,728945,785
1392,642691,1855
1393,645166,1559
1394,26863,164
1395,388692,12267
1396,645262,839
1397,100132417,1338
1398,100507552,1143
1399,653598,785
1400,642441,855
1401,100288037,372
1402,644634,750
1403,440689,2386
1404,2209,2176
1405,653604,411
1406,8370,396
1407,126961,507
1408,8337,534
1409,100132909,1178
1410,337873,582
1411,723790,534
1412,333932,507
1413,554313,396
1414,8349,2223
1415,8338,437
1416,317772,448
1417,51027,857
1418,100507640,613
1419,9900,4416
1420,10262,1549
1421,10903,3003
1422,56957,6413
1423,11311,2817
1424,51177,1615
1425,81611,3553
1426,23632,1739
1427,51107,2189
1428,79630,527
1429,148523,1742
1430,54460,939
1431,9129,2463
1432,23248,7819
1433,80222,2380
1434,1893,2144
1435,54507,4300
1436,100422997,86
1437,4170,4000
1438,2029,4145
1439,55204,3171
1440,84072,1879
1441,1520,4100
1442,1513,1702
1443,100289153,698
1444,405,4824
1445,9869,4658
1446,29956,2505
1447,8416,1824
1448,55793,3099
1449,58497,2977
1450,149428,2412
1451,54964,2053
1452,56882,3183
1453,10962,2158
1454,126626,1953
1455,10500,4024
1456,79626,1178
1457,388695,2508
1458,79005,858
1459,29765,1322
1460,6944,1324
1461,8394,3807
1462,5710,1332
1463,100507670,982
1464,57592,4508
1465,5298,3471
1466,5993,3618
1467,100505481,439
1468,8991,1705
1469,100505497,590
1470,5692,925
1471,23126,6626
1472,100505516,945
1473,57530,5102
1474,7286,3111
1475,693139,96
1476,81609,7085
1477,11189,5850
1478,284485,455
1479,65005,1292
1480,51686,1085
1481,11022,3264
1482,339398,2606
1483,6097,3214
1484,100191040,1713
1485,100132111,761
1486,284486,1146
1487,100505537,2451
1488,117145,2206
1489,6281,1055
1490,6282,594
1491,100131107,1026
1492,126637,3603
1493,7062,6900
1494,126638,3569
1495,388697,9623
1496,2312,12747
1497,339400,3000
1498,388698,9122
1499,49860,1913
1500,254910,819
1501,54544,695
1502,353145,611
1503,84648,610
1504,353144,425
1505,353143,288
1506,353142,270
1507,353141,609
1508,353140,614
1509,26239,612
1510,353139,592
1511,199834,388
1512,100129271,908
1513,448834,2523
1514,353137,357
1515,353135,1180
1516,353134,430
1517,353133,695
1518,353132,1139
1519,353131,333
1520,448835,642
1521,4184,770
1522,3713,2135
1523,163778,766
1524,6698,648
1525,6707,986
1526,6699,619
1527,6703,682
1528,6700,677
1529,6701,662
1530,6704,678
1531,6705,657
1532,6702,678
1533,6706,650
1534,149018,523
1535,4014,1229
1536,114771,1173
1537,57115,1834
1538,6280,577
1539,6283,466
1540,6279,408
1541,338324,4279
1542,645922,480
1543,6278,439
1544,100505623,550
1545,6277,683
1546,6276,710
1547,6275,564
1548,6274,738
1549,6273,963
1550,140576,1068
1551,57402,1043
1552,6284,1403
1553,6271,593
1554,26097,1293
1555,23557,1035
1556,3608,1612
1557,4881,4185
1558,65123,4482
1559,11000,2413
1560,343052,2672
1561,57459,7478
1562,9909,5688
1563,200186,2586
1564,27173,2427
1565,148327,1747
1566,10899,1574
1567,5872,1154
1568,6232,351
1569,91181,5884
1570,7170,11179
1571,100126346,79
1572,388701,387
1573,25912,1898
1574,9898,4457
1575,10456,1175
1576,89872,1791
1577,57198,6303
1578,3570,4176
1579,126669,6183
1580,126668,2529
1581,55585,3223
1582,1141,5719
1583,103,7093
1584,3782,3228
1585,10654,1299
1586,57326,3199
1587,90780,3180
1588,6464,3717
1589,1163,924
1590,100423020,91
1591,80308,3156
1592,55891,649
1593,51043,3616
1594,127579,2419
1595,149095,2279
1596,100505666,1798
1597,8751,2967
1598,1945,1257
1599,1944,1782
1600,1942,1566
1601,55974,1343
1602,54344,547
1603,200185,547
1604,80128,3142
1605,4582,1226
1606,693235,96
1607,7059,3147
1608,100129268,1409
1609,4580,1643
1610,2630,2036
1611,2629,2681
1612,10712,3190
1613,10067,1591
1614,1196,2137
1615,57657,3717
1616,5313,3164
1617,2224,1647
1618,284618,1306
1619,23623,4136
1620,55870,11774
1621,693140,96
1622,645682,1083
1623,645676,1964
1624,55154,2440
1625,55249,2806
1626,7818,1652
1627,100505728,488
1628,100129405,2524
1629,54856,7853
1630,23208,5280
1631,6016,3425
1632,22889,2945
1633,677823,134
1634,677771,129
1635,339403,1146
1636,9181,4291
1637,6746,1124
1638,56893,3507
1639,28956,681
1640,57111,1085
1641,92312,6124
1642,4000,3348
1643,64218,3453
1644,9673,3632
1645,11243,1082
1646,632,534
1647,79957,2117
1648,23381,4563
1649,84283,2354
1650,112770,1585
1651,391104,1014
1652,7203,2096
1653,100505747,1283
1654,128229,751
1655,57127,1913
1656,10485,879
1657,100505765,1117
1658,407046,89
1659,4209,5874
1660,128239,6052
1661,164118,2005
1662,128240,1121
1663,54865,1967
1664,60484,1771
1665,63827,4046
1666,10763,5558
1667,1382,969
1668,81875,2051
1669,51093,2269
1670,79590,927
1671,3068,2798
1672,5546,2123
1673,9047,1845
1674,4914,2857
1675,3645,4147
1676,375033,4866
1677,149499,1971
1678,9826,6889
1679,768220,114
1680,440695,1977
1681,2117,2930
1682,360155,310
1683,83416,5390
